valor,prediccion,valor_real,error,error_promedio,desviacion_estandar,diferencias_mayores_a_3,error_promedio_acumulativo,desviacion_estandar_acumulativa,error_relativo_porcentual
0,4.1970134,73.56,-69.36298662185669,62.423509588241586,4.190150669055494,4,69.36298662185669,0.0,94.29443532063172
0,4.1879997,66.3,-62.1120002746582,62.423509588241586,4.190150669055494,4,65.73749344825745,3.6254931735992457,93.6832583328178
0,4.1879997,63.372,-59.1840002746582,62.423509588241586,4.190150669055494,4,63.55299572372437,4.278651787443124,93.3914035767503
0,4.192949,63.228,-59.035051181793214,62.423509588241586,4.190150669055494,4,62.423509588241586,4.190150669055494,93.36852530808062
1,4.1971083,66.3,-62.102891731262204,59.76832898616791,1.3570534673669994,4,62.102891731262204,0.0,93.66951995665491
1,4.1879997,63.372,-59.1840002746582,59.76832898616791,1.3570534673669994,4,60.643446002960204,1.4594457283020006,93.3914035767503
1,4.1879997,63.228,-59.040000274658205,59.76832898616791,1.3570534673669994,4,60.108964093526204,1.4111448232777999,93.37635268339692
1,4.1935763,62.94,-58.746423664093015,59.76832898616791,1.3570534673669994,4,59.76832898616791,1.3570534673669994,93.3371840865793
2,4.197185,63.372,-59.174814960479736,58.17511822414398,1.4178274266047537,4,59.174814960479736,0.0,93.37690929823856
2,4.1879997,63.228,-59.040000274658205,58.17511822414398,1.4178274266047537,4,59.10740761756897,0.06740734291076578,93.37635268339692
2,4.1879997,62.94,-58.7520002746582,58.17511822414398,1.4178274266047537,4,58.98893850326538,0.17634916691972338,93.34604428766794
2,4.1943426,59.928,-55.73365738677978,58.17511822414398,1.4178274266047537,4,58.17511822414398,1.4178274266047537,93.00103021422338
3,4.1973586,63.228,-59.03064139175415,56.45594382095337,2.7237826680471446,4,59.03064139175415,0.0,93.36155088213157
3,4.1879997,62.94,-58.7520002746582,56.45594382095337,2.7237826680471446,4,58.89132083320618,0.13932055854797554,93.34604428766794
3,4.1879997,59.928,-55.7400002746582,56.45594382095337,2.7237826680471446,4,57.84088064702352,1.4898957395908605,93.01161439503771
3,4.1948667,56.496,-52.30113334274292,56.45594382095337,2.7237826680471446,4,56.45594382095337,2.7237826680471446,92.57493157523173
4,4.197566,62.94,-58.74243396759033,54.36476381492615,3.1203774273283327,4,58.74243396759033,0.0,93.33084519795095
4,4.1879997,59.928,-55.7400002746582,54.36476381492615,3.1203774273283327,4,57.241217121124265,1.5012168464660647,93.01161439503771
4,4.1879997,56.496,-52.308000274658205,54.36476381492615,3.1203774273283327,4,55.59681150563558,2.628797127314531,92.58708629754001
4,4.1953793,54.864,-50.66862074279785,54.36476381492615,3.1203774273283327,4,54.36476381492615,3.1203774273283327,92.3531290879226
5,4.197735,59.928,-55.730265167236325,52.11758082866669,2.277207399299272,4,55.730265167236325,0.0,92.99536972239409
5,4.1879997,56.496,-52.308000274658205,52.11758082866669,2.277207399299272,4,54.01913272094727,1.71113244628906,92.58708629754001
5,4.1879997,54.864,-50.6760002746582,52.11758082866669,2.277207399299272,4,52.90475523885092,2.1060999923323394,92.36657967821924
5,4.1959424,53.952,-49.75605759811401,52.11758082866669,2.277207399299272,4,52.11758082866669,2.277207399299272,92.22282324680089
6,4.1978955,56.496,-52.298104473114016,46.780461738586425,7.214564539756425,4,52.298104473114016,0.0,92.56957036447538
6,4.1879997,54.864,-50.6760002746582,46.780461738586425,7.214564539756425,4,51.48705237388611,0.8110520992279078,92.36657967821924
6,4.1879997,53.952,-49.7640002746582,46.780461738586425,7.214564539756425,4,50.91270167414348,1.047995447364972,92.23754499306457
6,4.196258,38.58,-34.38374193191528,46.780461738586425,7.214564539756425,4,46.780461738586425,7.214564539756425,89.12322947619306
7,4.1979256,54.864,-50.666074432373044,43.19235278129578,7.141419149348068,4,50.666074432373044,0.0,92.34848795635216
7,4.1879997,53.952,-49.7640002746582,43.19235278129578,7.141419149348068,4,50.215037353515626,0.4510370788574214,92.23754499306457
7,4.1879997,38.58,-34.3920002746582,43.19235278129578,7.141419149348068,4,44.940691660563154,7.468136845416585,89.14463523757958
7,4.196664,42.144,-37.94733614349365,43.19235278129578,7.141419149348068,4,43.19235278129578,7.141419149348068,90.04208462294432
8,4.1979084,53.952,-49.75409159851074,41.25436196041107,5.765750207460769,4,49.75409159851074,0.0,92.21917926770229
8,4.1879997,38.58,-34.3920002746582,41.25436196041107,5.765750207460769,4,42.07304593658447,7.6810456619262695,89.14463523757958
8,4.1879997,42.144,-37.9560002746582,41.25436196041107,5.765750207460769,4,40.70069738260904,6.564982057421111,90.06264302073416
8,4.1966443,47.112,-42.91535569381714,41.25436196041107,5.765750207460769,4,41.25436196041107,5.765750207460769,91.09219666712757
9,4.197652,38.58,-34.382348136901854,40.015211995124815,4.102478910301657,4,34.382348136901854,0.0,89.11961673639672
9,4.188799,42.144,-37.95520109558105,40.015211995124815,4.102478910301657,4,36.16877461624145,1.7864264793395996,90.06074671502718
9,4.1879997,47.112,-42.924000274658205,40.015211995124815,4.102478910301657,4,38.420516502380366,3.502603234877646,91.11054566704492
9,4.1967015,48.996,-44.79929847335816,40.015211995124815,4.102478910301657,4,40.015211995124815,4.102478910301657,91.4346037908363
10,4.1972427,42.144,-37.94675726318359,44.37413641643524,4.976097710026335,4,37.94675726318359,0.0,90.0407110458988
10,4.190018,47.112,-42.92198182296753,44.37413641643524,4.976097710026335,4,40.43436954307556,2.4876122798919695,91.10626129853866
10,4.1879997,48.996,-44.808000274658205,44.37413641643524,4.976097710026335,4,41.892246453603114,2.8941815324103137,91.4523640188142
10,4.1961937,56.016,-51.81980630493164,44.37413641643524,4.976097710026335,4,44.37413641643524,4.976097710026335,92.50893727672744
11,4.196404,47.112,-42.915596019744875,48.57998728561401,4.879394822460562,4,42.915596019744875,0.0,91.09270678329273
11,4.1917787,48.996,-44.804221340179446,48.57998728561401,4.879394822460562,4,43.85990867996216,0.9443126602172853,91.44465127802157
11,4.1879997,56.016,-51.8280002746582,48.57998728561401,4.879394822460562,4,46.5159392115275,3.8345117858790965,92.52356518612218
11,4.1958685,58.968,-54.77213150787354,48.57998728561401,4.879394822460562,4,48.57998728561401,4.879394822460562,92.8844992332681
12,4.1950307,48.996,-44.8009693107605,52.22781169033051,4.736091288077838,4,44.8009693107605,0.0,91.43801394146563
12,4.1942277,56.016,-51.82177230453491,52.22781169033051,4.736091288077838,4,48.311370807647705,3.510401496887205,92.5124469875302
12,4.1879997,58.968,-54.78000027465821,52.22781169033051,4.736091288077838,4,50.467580629984546,4.184944528758093,92.89784336361791
12,4.195495,61.704,-57.50850487136841,52.22781169033051,4.736091288077838,4,52.22781169033051,4.736091288077838,93.20061077299431
13,4.1929054,56.016,-51.82309457397461,56.832636095047,4.20187675927449,4,51.82309457397461,0.0,92.51480750852366
13,4.1973596,58.968,-54.77064043807984,56.832636095047,4.20187675927449,4,53.296867506027226,1.473772932052615,92.881970624881
13,4.1879997,61.704,-57.516000274658204,56.832636095047,4.20187675927449,4,54.703245095570885,2.3246075551746896,93.21275812695806
13,4.195191,67.416,-63.22080909347534,56.832636095047,4.20187675927449,4,56.832636095047,4.20187675927449,93.77715838002158
14,4.189776,58.968,-54.7782240562439,61.413344509124755,5.891753463650433,4,54.7782240562439,0.0,92.89483119021146
14,4.2016096,61.704,-57.50239038848877,61.413344509124755,5.891753463650433,4,56.14030722236633,1.362083166122435,93.19070139454293
14,4.1879997,67.416,-63.2280002746582,61.413344509124755,5.891753463650433,4,58.502871573130285,3.52140137690818,93.78782525610865
14,4.1952367,74.34,-70.14476331710816,61.413344509124755,5.891753463650433,4,61.413344509124755,5.891753463650433,94.35668996113553
15,4.1879997,61.704,-57.516000274658204,65.1621323890686,5.206450578872561,4,57.516000274658204,0.0,93.21275812695806
15,4.207391,67.416,-63.20860921478271,65.1621323890686,5.206450578872561,4,60.36230474472046,2.8463044700622535,93.75906196567983
15,4.1879997,74.34,-70.1520002746582,65.1621323890686,5.206450578872561,4,63.62553658803304,5.167042695515755,94.36642490537827
15,4.19608,73.968,-69.7719197921753,65.1621323890686,5.206450578872561,4,65.1621323890686,5.206450578872561,94.32716822433389
16,4.1879997,67.416,-63.2280002746582,67.80843732643127,2.754721681817746,4,63.2280002746582,0.0,93.78782525610865
16,4.206491,74.34,-70.13350900650025,67.80843732643127,2.754721681817746,4,66.68075464057922,3.452754365921024,94.34155099071864
16,4.1879997,73.968,-69.7800002746582,67.80843732643127,2.754721681817746,4,67.71383651860555,3.175246679289228,94.33809251927617
16,4.1957603,72.288,-68.09223974990844,67.80843732643127,2.754721681817746,4,67.80843732643127,2.754721681817746,94.19577211972727
17,4.1879997,74.34,-70.1520002746582,68.84373904514312,1.152051496085252,4,70.1520002746582,0.0,94.36642490537827
17,4.2055116,73.968,-69.7624884300232,68.84373904514312,1.152051496085252,4,69.9572443523407,0.19475592231750483,94.31441762657256
17,4.1879997,72.288,-68.1000002746582,68.84373904514312,1.152051496085252,4,69.3381629931132,0.8898370852040468,94.20650768406679
17,4.195533,71.556,-67.36046720123291,68.84373904514312,1.152051496085252,4,68.84373904514312,1.152051496085252,94.13671418362249
18,4.1879997,73.968,-69.7800002746582,68.64904696273804,0.9685421664292496,4,69.7800002746582,0.0,94.33809251927617
18,4.2045684,72.288,-68.08343161392212,68.64904696273804,0.9685421664292496,4,68.93171594429016,0.8482843303680454,94.18358733665632
18,4.1879997,71.556,-67.3680002746582,68.64904696273804,0.9685421664292496,4,68.41047738774618,1.0114857730527373,94.14724170531919
18,4.1952443,73.56,-69.36475568771363,68.64904696273804,0.9685421664292496,4,68.64904696273804,0.9685421664292496,94.29684024974662
19,4.1879997,72.288,-68.1000002746582,67.5513759803772,1.4461749479042674,4,68.1000002746582,0.0,94.20650768406679
19,4.2035108,71.556,-67.35248923873901,67.5513759803772,1.4461749479042674,4,67.7262447566986,0.3737555179595944,94.12556492640591
19,4.1879997,73.56,-69.3720002746582,67.5513759803772,1.4461749479042674,4,68.27482992935181,0.8336786999678267,94.30668879099811
19,4.194986,69.576,-65.38101413345336,67.5513759803772,1.4461749479042674,4,67.5513759803772,1.4461749479042674,93.97064236727229
20,4.1879997,71.556,-67.3680002746582,68.04068413639068,1.8205370576043403,4,67.3680002746582,0.0,94.14724170531919
