activa;timestamp
13.296;1/1/2022 00:00
11.34;1/1/2022 00:15
11.784;1/1/2022 00:30
11.328;1/1/2022 00:45
12.048;1/1/2022 01:00
11.856;1/1/2022 01:15
11.076;1/1/2022 01:30
11.484;1/1/2022 01:45
11.904;1/1/2022 02:00
11.736;1/1/2022 02:15
12.012;1/1/2022 02:30
12.132;1/1/2022 02:45
11.292;1/1/2022 03:00
11.556;1/1/2022 03:15
11.412;1/1/2022 03:30
11.7;1/1/2022 03:45
11.892;1/1/2022 04:00
11.304;1/1/2022 04:15
11.46;1/1/2022 04:30
11.976;1/1/2022 04:45
11.304;1/1/2022 05:00
12.348;1/1/2022 05:15
11.76;1/1/2022 05:30
11.868;1/1/2022 05:45
11.532;1/1/2022 06:00
10.704;1/1/2022 06:15
11.076;1/1/2022 06:30
11.076;1/1/2022 06:45
10.464;1/1/2022 07:00
10.572;1/1/2022 07:15
10.656;1/1/2022 07:30
10.416;1/1/2022 07:45
10.632;1/1/2022 08:00
10.584;1/1/2022 08:15
10.548;1/1/2022 08:30
9.744;1/1/2022 08:45
10.188;1/1/2022 09:00
8.4;1/1/2022 09:15
9.012;1/1/2022 09:30
11.52;1/1/2022 09:45
11.568;1/1/2022 10:00
12.576;1/1/2022 10:15
13.2;1/1/2022 10:30
12.336;1/1/2022 10:45
10.908;1/1/2022 11:00
10.86;1/1/2022 11:15
7.092;1/1/2022 11:30
6.996;1/1/2022 11:45
8.364;1/1/2022 12:00
5.784;1/1/2022 12:15
10.14;1/1/2022 12:30
10.608;1/1/2022 12:45
11.256;1/1/2022 13:00
11.376;1/1/2022 13:15
11.724;1/1/2022 13:30
11.268;1/1/2022 13:45
10.884;1/1/2022 14:00
10.404;1/1/2022 14:15
10.596;1/1/2022 14:30
10.8;1/1/2022 14:45
11.424;1/1/2022 15:00
9.204;1/1/2022 15:15
9.132;1/1/2022 15:30
10.356;1/1/2022 15:45
9.84;1/1/2022 16:00
8.292;1/1/2022 16:15
7.728;1/1/2022 16:30
8.28;1/1/2022 16:45
8.796;1/1/2022 17:00
8.256;1/1/2022 17:15
9.528;1/1/2022 17:30
11.016;1/1/2022 17:45
11.508;1/1/2022 18:00
11.844;1/1/2022 18:15
11.448;1/1/2022 18:30
10.116;1/1/2022 18:45
10.836;1/1/2022 19:00
11.016;1/1/2022 19:15
11.04;1/1/2022 19:30
11.208;1/1/2022 19:45
10.764;1/1/2022 20:00
11.484;1/1/2022 20:15
11.184;1/1/2022 20:30
10.728;1/1/2022 20:45
11.292;1/1/2022 21:00
11.46;1/1/2022 21:15
10.908;1/1/2022 21:30
11.592;1/1/2022 21:45
11.268;1/1/2022 22:00
11.112;1/1/2022 22:15
11.16;1/1/2022 22:30
10.704;1/1/2022 22:45
11.64;1/1/2022 23:00
11.46;1/1/2022 23:15
11.184;1/1/2022 23:30
12.156;1/1/2022 23:45
10.86;2/1/2022 00:00
11.256;2/1/2022 00:15
11.748;2/1/2022 00:30
11.124;2/1/2022 00:45
11.22;2/1/2022 01:00
11.304;2/1/2022 01:15
11.304;2/1/2022 01:30
11.436;2/1/2022 01:45
11.088;2/1/2022 02:00
11.652;2/1/2022 02:15
11.652;2/1/2022 02:30
11.424;2/1/2022 02:45
12.108;2/1/2022 03:00
12.864;2/1/2022 03:15
12.228;2/1/2022 03:30
12.684;2/1/2022 03:45
11.424;2/1/2022 04:00
10.74;2/1/2022 04:15
11.832;2/1/2022 04:30
11.34;2/1/2022 04:45
11.556;2/1/2022 05:00
11.592;2/1/2022 05:15
10.8;2/1/2022 05:30
11.424;2/1/2022 05:45
11.592;2/1/2022 06:00
10.956;2/1/2022 06:15
11.244;2/1/2022 06:30
10.968;2/1/2022 06:45
11.064;2/1/2022 07:00
11.256;2/1/2022 07:15
10.68;2/1/2022 07:30
10.284;2/1/2022 07:45
10.872;2/1/2022 08:00
10.116;2/1/2022 08:15
9.972;2/1/2022 08:30
9.852;2/1/2022 08:45
10.236;2/1/2022 09:00
10.176;2/1/2022 09:15
9.18;2/1/2022 09:30
9.624;2/1/2022 09:45
9.624;2/1/2022 10:00
8.616;2/1/2022 10:15
8.952;2/1/2022 10:30
8.592;2/1/2022 10:45
8.268;2/1/2022 11:00
8.688;2/1/2022 11:15
7.836;2/1/2022 11:30
8.376;2/1/2022 11:45
9.648;2/1/2022 12:00
8.688;2/1/2022 12:15
9.876;2/1/2022 12:30
10.056;2/1/2022 12:45
8.64;2/1/2022 13:00
8.04;2/1/2022 13:15
7.44;2/1/2022 13:30
8.412;2/1/2022 13:45
8.184;2/1/2022 14:00
7.908;2/1/2022 14:15
8.112;2/1/2022 14:30
8.28;2/1/2022 14:45
9.012;2/1/2022 15:00
9.648;2/1/2022 15:15
10.128;2/1/2022 15:30
10.488;2/1/2022 15:45
11.292;2/1/2022 16:00
10.296;2/1/2022 16:15
11.28;2/1/2022 16:30
11.568;2/1/2022 16:45
12.216;2/1/2022 17:00
10.944;2/1/2022 17:15
10.908;2/1/2022 17:30
12.516;2/1/2022 17:45
11.352;2/1/2022 18:00
12.792;2/1/2022 18:15
12.396;2/1/2022 18:30
11.832;2/1/2022 18:45
11.976;2/1/2022 19:00
11.544;2/1/2022 19:15
11.82;2/1/2022 19:30
11.58;2/1/2022 19:45
11.736;2/1/2022 20:00
11.592;2/1/2022 20:15
11.808;2/1/2022 20:30
11.664;2/1/2022 20:45
11.664;2/1/2022 21:00
10.956;2/1/2022 21:15
11.748;2/1/2022 21:30
12.504;2/1/2022 21:45
12.6;2/1/2022 22:00
12.732;2/1/2022 22:15
12.432;2/1/2022 22:30
12.312;2/1/2022 22:45
