activa,timestamp
13.296,2022-01-01 00:00:00
11.340,2022-01-01 00:15:00
11.784,2022-01-01 00:30:00
11.328,2022-01-01 00:45:00
12.048,2022-01-01 01:00:00
11.856,2022-01-01 01:15:00
11.076,2022-01-01 01:30:00
11.484,2022-01-01 01:45:00
11.904,2022-01-01 02:00:00
11.736,2022-01-01 02:15:00
12.012,2022-01-01 02:30:00
12.132,2022-01-01 02:45:00
11.292,2022-01-01 03:00:00
11.556,2022-01-01 03:15:00
11.412,2022-01-01 03:30:00
11.700,2022-01-01 03:45:00
11.892,2022-01-01 04:00:00
11.304,2022-01-01 04:15:00
11.460,2022-01-01 04:30:00
11.976,2022-01-01 04:45:00
11.304,2022-01-01 05:00:00
12.348,2022-01-01 05:15:00
11.760,2022-01-01 05:30:00
11.868,2022-01-01 05:45:00
11.532,2022-01-01 06:00:00
10.704,2022-01-01 06:15:00
11.076,2022-01-01 06:30:00
11.076,2022-01-01 06:45:00
10.464,2022-01-01 07:00:00
10.572,2022-01-01 07:15:00
10.656,2022-01-01 07:30:00
10.416,2022-01-01 07:45:00
10.632,2022-01-01 08:00:00
10.584,2022-01-01 08:15:00
10.548,2022-01-01 08:30:00
9.744,2022-01-01 08:45:00
10.188,2022-01-01 09:00:00
8.400,2022-01-01 09:15:00
9.012,2022-01-01 09:30:00
11.520,2022-01-01 09:45:00
11.568,2022-01-01 10:00:00
12.576,2022-01-01 10:15:00
13.200,2022-01-01 10:30:00
12.336,2022-01-01 10:45:00
10.908,2022-01-01 11:00:00
10.860,2022-01-01 11:15:00
7.092,2022-01-01 11:30:00
6.996,2022-01-01 11:45:00
8.364,2022-01-01 12:00:00
5.784,2022-01-01 12:15:00
10.140,2022-01-01 12:30:00
10.608,2022-01-01 12:45:00
11.256,2022-01-01 13:00:00
11.376,2022-01-01 13:15:00
11.724,2022-01-01 13:30:00
11.268,2022-01-01 13:45:00
10.884,2022-01-01 14:00:00
10.404,2022-01-01 14:15:00
10.596,2022-01-01 14:30:00
10.800,2022-01-01 14:45:00
11.424,2022-01-01 15:00:00
9.204,2022-01-01 15:15:00
9.132,2022-01-01 15:30:00
10.356,2022-01-01 15:45:00
9.840,2022-01-01 16:00:00
8.292,2022-01-01 16:15:00
7.728,2022-01-01 16:30:00
8.280,2022-01-01 16:45:00
8.796,2022-01-01 17:00:00
8.256,2022-01-01 17:15:00
9.528,2022-01-01 17:30:00
11.016,2022-01-01 17:45:00
11.508,2022-01-01 18:00:00
11.844,2022-01-01 18:15:00
11.448,2022-01-01 18:30:00
10.116,2022-01-01 18:45:00
10.836,2022-01-01 19:00:00
11.016,2022-01-01 19:15:00
11.040,2022-01-01 19:30:00
11.208,2022-01-01 19:45:00
10.764,2022-01-01 20:00:00
11.484,2022-01-01 20:15:00
11.184,2022-01-01 20:30:00
10.728,2022-01-01 20:45:00
11.292,2022-01-01 21:00:00
11.460,2022-01-01 21:15:00
10.908,2022-01-01 21:30:00
11.592,2022-01-01 21:45:00
11.268,2022-01-01 22:00:00
11.112,2022-01-01 22:15:00
11.160,2022-01-01 22:30:00
10.704,2022-01-01 22:45:00
11.640,2022-01-01 23:00:00
11.460,2022-01-01 23:15:00
11.184,2022-01-01 23:30:00
12.156,2022-01-01 23:45:00
10.860,2022-01-02 00:00:00
11.256,2022-01-02 00:15:00
11.748,2022-01-02 00:30:00
11.124,2022-01-02 00:45:00
11.220,2022-01-02 01:00:00
11.304,2022-01-02 01:15:00
11.304,2022-01-02 01:30:00
11.436,2022-01-02 01:45:00
11.088,2022-01-02 02:00:00
11.652,2022-01-02 02:15:00
11.652,2022-01-02 02:30:00
11.424,2022-01-02 02:45:00
12.108,2022-01-02 03:00:00
12.864,2022-01-02 03:15:00
12.228,2022-01-02 03:30:00
12.684,2022-01-02 03:45:00
11.424,2022-01-02 04:00:00
10.740,2022-01-02 04:15:00
11.832,2022-01-02 04:30:00
11.340,2022-01-02 04:45:00
11.556,2022-01-02 05:00:00
11.592,2022-01-02 05:15:00
10.800,2022-01-02 05:30:00
11.424,2022-01-02 05:45:00
11.592,2022-01-02 06:00:00
10.956,2022-01-02 06:15:00
11.244,2022-01-02 06:30:00
10.968,2022-01-02 06:45:00
11.064,2022-01-02 07:00:00
11.256,2022-01-02 07:15:00
10.680,2022-01-02 07:30:00
10.284,2022-01-02 07:45:00
10.872,2022-01-02 08:00:00
10.116,2022-01-02 08:15:00
9.972,2022-01-02 08:30:00
9.852,2022-01-02 08:45:00
10.236,2022-01-02 09:00:00
10.176,2022-01-02 09:15:00
9.180,2022-01-02 09:30:00
9.624,2022-01-02 09:45:00
9.624,2022-01-02 10:00:00
8.616,2022-01-02 10:15:00
8.952,2022-01-02 10:30:00
8.592,2022-01-02 10:45:00
8.268,2022-01-02 11:00:00
8.688,2022-01-02 11:15:00
7.836,2022-01-02 11:30:00
8.376,2022-01-02 11:45:00
9.648,2022-01-02 12:00:00
8.688,2022-01-02 12:15:00
9.876,2022-01-02 12:30:00
10.056,2022-01-02 12:45:00
8.640,2022-01-02 13:00:00
8.040,2022-01-02 13:15:00
7.440,2022-01-02 13:30:00
8.412,2022-01-02 13:45:00
8.184,2022-01-02 14:00:00
7.908,2022-01-02 14:15:00
8.112,2022-01-02 14:30:00
8.280,2022-01-02 14:45:00
9.012,2022-01-02 15:00:00
9.648,2022-01-02 15:15:00
10.128,2022-01-02 15:30:00
10.488,2022-01-02 15:45:00
11.292,2022-01-02 16:00:00
10.296,2022-01-02 16:15:00
11.280,2022-01-02 16:30:00
11.568,2022-01-02 16:45:00
12.216,2022-01-02 17:00:00
10.944,2022-01-02 17:15:00
10.908,2022-01-02 17:30:00
12.516,2022-01-02 17:45:00
11.352,2022-01-02 18:00:00
12.792,2022-01-02 18:15:00
12.396,2022-01-02 18:30:00
11.832,2022-01-02 18:45:00
11.976,2022-01-02 19:00:00
11.544,2022-01-02 19:15:00
11.820,2022-01-02 19:30:00
11.580,2022-01-02 19:45:00
11.736,2022-01-02 20:00:00
11.592,2022-01-02 20:15:00
11.808,2022-01-02 20:30:00
11.664,2022-01-02 20:45:00
11.664,2022-01-02 21:00:00
10.956,2022-01-02 21:15:00
11.748,2022-01-02 21:30:00
12.504,2022-01-02 21:45:00
12.600,2022-01-02 22:00:00
12.732,2022-01-02 22:15:00
12.432,2022-01-02 22:30:00
12.312,2022-01-02 22:45:00
12.156,2022-01-02 23:00:00
11.400,2022-01-02 23:15:00
11.700,2022-01-02 23:30:00
11.244,2022-01-02 23:45:00
11.256,2022-01-03 00:00:00
11.496,2022-01-03 00:15:00
11.316,2022-01-03 00:30:00
11.472,2022-01-03 00:45:00
11.676,2022-01-03 01:00:00
11.040,2022-01-03 01:15:00
11.388,2022-01-03 01:30:00
11.616,2022-01-03 01:45:00
11.460,2022-01-03 02:00:00
11.520,2022-01-03 02:15:00
10.776,2022-01-03 02:30:00
11.052,2022-01-03 02:45:00
11.652,2022-01-03 03:00:00
11.184,2022-01-03 03:15:00
11.196,2022-01-03 03:30:00
11.292,2022-01-03 03:45:00
10.944,2022-01-03 04:00:00
11.340,2022-01-03 04:15:00
11.712,2022-01-03 04:30:00
11.052,2022-01-03 04:45:00
11.364,2022-01-03 05:00:00
11.412,2022-01-03 05:15:00
11.160,2022-01-03 05:30:00
11.208,2022-01-03 05:45:00
10.548,2022-01-03 06:00:00
11.016,2022-01-03 06:15:00
10.788,2022-01-03 06:30:00
10.572,2022-01-03 06:45:00
10.560,2022-01-03 07:00:00
10.872,2022-01-03 07:15:00
11.484,2022-01-03 07:30:00
11.580,2022-01-03 07:45:00
11.736,2022-01-03 08:00:00
10.452,2022-01-03 08:15:00
9.828,2022-01-03 08:30:00
9.060,2022-01-03 08:45:00
9.408,2022-01-03 09:00:00
8.916,2022-01-03 09:15:00
8.664,2022-01-03 09:30:00
8.664,2022-01-03 09:45:00
8.004,2022-01-03 10:00:00
8.460,2022-01-03 10:15:00
8.412,2022-01-03 10:30:00
8.436,2022-01-03 10:45:00
8.592,2022-01-03 11:00:00
8.292,2022-01-03 11:15:00
7.656,2022-01-03 11:30:00
8.064,2022-01-03 11:45:00
7.788,2022-01-03 12:00:00
7.632,2022-01-03 12:15:00
7.548,2022-01-03 12:30:00
7.608,2022-01-03 12:45:00
7.560,2022-01-03 13:00:00
7.380,2022-01-03 13:15:00
7.716,2022-01-03 13:30:00
6.768,2022-01-03 13:45:00
7.284,2022-01-03 14:00:00
6.576,2022-01-03 14:15:00
7.392,2022-01-03 14:30:00
7.608,2022-01-03 14:45:00
7.356,2022-01-03 15:00:00
8.148,2022-01-03 15:15:00
7.968,2022-01-03 15:30:00
8.016,2022-01-03 15:45:00
8.268,2022-01-03 16:00:00
8.124,2022-01-03 16:15:00
8.328,2022-01-03 16:30:00
9.432,2022-01-03 16:45:00
10.284,2022-01-03 17:00:00
11.076,2022-01-03 17:15:00
11.568,2022-01-03 17:30:00
10.632,2022-01-03 17:45:00
10.020,2022-01-03 18:00:00
10.728,2022-01-03 18:15:00
10.668,2022-01-03 18:30:00
10.968,2022-01-03 18:45:00
10.944,2022-01-03 19:00:00
11.748,2022-01-03 19:15:00
11.436,2022-01-03 19:30:00
11.076,2022-01-03 19:45:00
11.700,2022-01-03 20:00:00
11.220,2022-01-03 20:15:00
11.496,2022-01-03 20:30:00
11.220,2022-01-03 20:45:00
11.040,2022-01-03 21:00:00
11.772,2022-01-03 21:15:00
11.376,2022-01-03 21:30:00
11.508,2022-01-03 21:45:00
11.220,2022-01-03 22:00:00
11.328,2022-01-03 22:15:00
11.268,2022-01-03 22:30:00
11.412,2022-01-03 22:45:00
11.328,2022-01-03 23:00:00
13.728,2022-01-03 23:15:00
12.840,2022-01-03 23:30:00
11.412,2022-01-03 23:45:00
11.688,2022-01-04 00:00:00
12.540,2022-01-04 00:15:00
11.520,2022-01-04 00:30:00
11.184,2022-01-04 00:45:00
12.912,2022-01-04 01:00:00
11.460,2022-01-04 01:15:00
11.064,2022-01-04 01:30:00
12.708,2022-01-04 01:45:00
11.952,2022-01-04 02:00:00
11.988,2022-01-04 02:15:00
11.952,2022-01-04 02:30:00
12.012,2022-01-04 02:45:00
12.264,2022-01-04 03:00:00
12.384,2022-01-04 03:15:00
11.784,2022-01-04 03:30:00
11.220,2022-01-04 03:45:00
11.256,2022-01-04 04:00:00
11.088,2022-01-04 04:15:00
11.004,2022-01-04 04:30:00
11.520,2022-01-04 04:45:00
11.220,2022-01-04 05:00:00
10.980,2022-01-04 05:15:00
11.412,2022-01-04 05:30:00
11.028,2022-01-04 05:45:00
11.196,2022-01-04 06:00:00
11.496,2022-01-04 06:15:00
11.256,2022-01-04 06:30:00
10.956,2022-01-04 06:45:00
10.740,2022-01-04 07:00:00
10.512,2022-01-04 07:15:00
11.112,2022-01-04 07:30:00
11.292,2022-01-04 07:45:00
10.404,2022-01-04 08:00:00
9.648,2022-01-04 08:15:00
9.996,2022-01-04 08:30:00
9.912,2022-01-04 08:45:00
9.420,2022-01-04 09:00:00
9.612,2022-01-04 09:15:00
8.856,2022-01-04 09:30:00
8.868,2022-01-04 09:45:00
8.304,2022-01-04 10:00:00
8.208,2022-01-04 10:15:00
7.752,2022-01-04 10:30:00
8.472,2022-01-04 10:45:00
7.884,2022-01-04 11:00:00
9.504,2022-01-04 11:15:00
8.916,2022-01-04 11:30:00
8.904,2022-01-04 11:45:00
9.108,2022-01-04 12:00:00
8.040,2022-01-04 12:15:00
7.428,2022-01-04 12:30:00
7.332,2022-01-04 12:45:00
7.236,2022-01-04 13:00:00
6.888,2022-01-04 13:15:00
7.572,2022-01-04 13:30:00
7.236,2022-01-04 13:45:00
6.864,2022-01-04 14:00:00
7.224,2022-01-04 14:15:00
7.164,2022-01-04 14:30:00
8.016,2022-01-04 14:45:00
7.272,2022-01-04 15:00:00
7.956,2022-01-04 15:15:00
8.268,2022-01-04 15:30:00
7.680,2022-01-04 15:45:00
8.028,2022-01-04 16:00:00
8.460,2022-01-04 16:15:00
8.304,2022-01-04 16:30:00
8.892,2022-01-04 16:45:00
8.412,2022-01-04 17:00:00
9.456,2022-01-04 17:15:00
9.504,2022-01-04 17:30:00
9.780,2022-01-04 17:45:00
9.876,2022-01-04 18:00:00
10.368,2022-01-04 18:15:00
10.728,2022-01-04 18:30:00
10.620,2022-01-04 18:45:00
10.980,2022-01-04 19:00:00
11.112,2022-01-04 19:15:00
11.040,2022-01-04 19:30:00
11.316,2022-01-04 19:45:00
10.860,2022-01-04 20:00:00
11.292,2022-01-04 20:15:00
11.136,2022-01-04 20:30:00
12.024,2022-01-04 20:45:00
12.204,2022-01-04 21:00:00
12.672,2022-01-04 21:15:00
12.360,2022-01-04 21:30:00
12.588,2022-01-04 21:45:00
11.904,2022-01-04 22:00:00
11.148,2022-01-04 22:15:00
10.824,2022-01-04 22:30:00
10.860,2022-01-04 22:45:00
11.556,2022-01-04 23:00:00
11.376,2022-01-04 23:15:00
11.256,2022-01-04 23:30:00
10.872,2022-01-04 23:45:00
11.268,2022-01-05 00:00:00
11.112,2022-01-05 00:15:00
11.052,2022-01-05 00:30:00
11.436,2022-01-05 00:45:00
11.436,2022-01-05 01:00:00
11.004,2022-01-05 01:15:00
10.836,2022-01-05 01:30:00
10.968,2022-01-05 01:45:00
11.136,2022-01-05 02:00:00
11.520,2022-01-05 02:15:00
10.788,2022-01-05 02:30:00
11.088,2022-01-05 02:45:00
10.896,2022-01-05 03:00:00
11.724,2022-01-05 03:15:00
10.956,2022-01-05 03:30:00
10.848,2022-01-05 03:45:00
11.004,2022-01-05 04:00:00
10.884,2022-01-05 04:15:00
10.908,2022-01-05 04:30:00
10.932,2022-01-05 04:45:00
11.196,2022-01-05 05:00:00
11.220,2022-01-05 05:15:00
10.836,2022-01-05 05:30:00
12.000,2022-01-05 05:45:00
11.592,2022-01-05 06:00:00
13.800,2022-01-05 06:15:00
13.644,2022-01-05 06:30:00
11.472,2022-01-05 06:45:00
11.256,2022-01-05 07:00:00
12.528,2022-01-05 07:15:00
10.584,2022-01-05 07:30:00
11.340,2022-01-05 07:45:00
11.244,2022-01-05 08:00:00
9.216,2022-01-05 08:15:00
9.528,2022-01-05 08:30:00
9.420,2022-01-05 08:45:00
8.724,2022-01-05 09:00:00
8.364,2022-01-05 09:15:00
7.932,2022-01-05 09:30:00
7.824,2022-01-05 09:45:00
8.280,2022-01-05 10:00:00
7.260,2022-01-05 10:15:00
7.956,2022-01-05 10:30:00
6.900,2022-01-05 10:45:00
6.840,2022-01-05 11:00:00
6.672,2022-01-05 11:15:00
6.720,2022-01-05 11:30:00
6.552,2022-01-05 11:45:00
6.540,2022-01-05 12:00:00
6.780,2022-01-05 12:15:00
6.588,2022-01-05 12:30:00
6.708,2022-01-05 12:45:00
6.348,2022-01-05 13:00:00
6.156,2022-01-05 13:15:00
6.468,2022-01-05 13:30:00
6.720,2022-01-05 13:45:00
6.528,2022-01-05 14:00:00
6.192,2022-01-05 14:15:00
7.248,2022-01-05 14:30:00
7.080,2022-01-05 14:45:00
7.368,2022-01-05 15:00:00
8.040,2022-01-05 15:15:00
8.208,2022-01-05 15:30:00
8.532,2022-01-05 15:45:00
8.100,2022-01-05 16:00:00
7.680,2022-01-05 16:15:00
8.220,2022-01-05 16:30:00
8.028,2022-01-05 16:45:00
8.436,2022-01-05 17:00:00
8.700,2022-01-05 17:15:00
8.940,2022-01-05 17:30:00
8.880,2022-01-05 17:45:00
9.888,2022-01-05 18:00:00
9.756,2022-01-05 18:15:00
10.668,2022-01-05 18:30:00
10.740,2022-01-05 18:45:00
10.692,2022-01-05 19:00:00
10.836,2022-01-05 19:15:00
11.040,2022-01-05 19:30:00
10.908,2022-01-05 19:45:00
10.752,2022-01-05 20:00:00
10.980,2022-01-05 20:15:00
11.508,2022-01-05 20:30:00
10.944,2022-01-05 20:45:00
10.980,2022-01-05 21:00:00
10.884,2022-01-05 21:15:00
10.800,2022-01-05 21:30:00
10.872,2022-01-05 21:45:00
11.220,2022-01-05 22:00:00
11.364,2022-01-05 22:15:00
10.428,2022-01-05 22:30:00
10.476,2022-01-05 22:45:00
10.860,2022-01-05 23:00:00
10.752,2022-01-05 23:15:00
10.704,2022-01-05 23:30:00
10.584,2022-01-05 23:45:00
12.072,2022-01-06 00:00:00
11.976,2022-01-06 00:15:00
11.928,2022-01-06 00:30:00
11.760,2022-01-06 00:45:00
11.796,2022-01-06 01:00:00
11.352,2022-01-06 01:15:00
11.184,2022-01-06 01:30:00
10.632,2022-01-06 01:45:00
10.404,2022-01-06 02:00:00
10.632,2022-01-06 02:15:00
10.908,2022-01-06 02:30:00
10.920,2022-01-06 02:45:00
11.124,2022-01-06 03:00:00
10.392,2022-01-06 03:15:00
10.728,2022-01-06 03:30:00
10.716,2022-01-06 03:45:00
10.476,2022-01-06 04:00:00
10.956,2022-01-06 04:15:00
10.968,2022-01-06 04:30:00
10.920,2022-01-06 04:45:00
10.584,2022-01-06 05:00:00
10.308,2022-01-06 05:15:00
11.376,2022-01-06 05:30:00
11.124,2022-01-06 05:45:00
10.920,2022-01-06 06:00:00
10.164,2022-01-06 06:15:00
10.500,2022-01-06 06:30:00
11.088,2022-01-06 06:45:00
10.692,2022-01-06 07:00:00
10.500,2022-01-06 07:15:00
10.092,2022-01-06 07:30:00
10.596,2022-01-06 07:45:00
9.912,2022-01-06 08:00:00
9.576,2022-01-06 08:15:00
9.216,2022-01-06 08:30:00
8.520,2022-01-06 08:45:00
8.712,2022-01-06 09:00:00
7.968,2022-01-06 09:15:00
8.628,2022-01-06 09:30:00
8.892,2022-01-06 09:45:00
8.892,2022-01-06 10:00:00
8.616,2022-01-06 10:15:00
7.764,2022-01-06 10:30:00
8.508,2022-01-06 10:45:00
8.712,2022-01-06 11:00:00
7.644,2022-01-06 11:15:00
7.068,2022-01-06 11:30:00
7.872,2022-01-06 11:45:00
6.576,2022-01-06 12:00:00
8.676,2022-01-06 12:15:00
8.376,2022-01-06 12:30:00
7.596,2022-01-06 12:45:00
9.096,2022-01-06 13:00:00
6.684,2022-01-06 13:15:00
6.768,2022-01-06 13:30:00
6.948,2022-01-06 13:45:00
7.836,2022-01-06 14:00:00
7.380,2022-01-06 14:15:00
9.804,2022-01-06 14:30:00
8.208,2022-01-06 14:45:00
7.728,2022-01-06 15:00:00
8.352,2022-01-06 15:15:00
8.892,2022-01-06 15:30:00
7.236,2022-01-06 15:45:00
7.560,2022-01-06 16:00:00
7.728,2022-01-06 16:15:00
8.196,2022-01-06 16:30:00
8.700,2022-01-06 16:45:00
9.312,2022-01-06 17:00:00
8.928,2022-01-06 17:15:00
9.432,2022-01-06 17:30:00
9.408,2022-01-06 17:45:00
10.008,2022-01-06 18:00:00
9.948,2022-01-06 18:15:00
11.400,2022-01-06 18:30:00
10.044,2022-01-06 18:45:00
11.232,2022-01-06 19:00:00
12.096,2022-01-06 19:15:00
12.348,2022-01-06 19:30:00
12.108,2022-01-06 19:45:00
11.832,2022-01-06 20:00:00
11.580,2022-01-06 20:15:00
10.920,2022-01-06 20:30:00
10.608,2022-01-06 20:45:00
11.376,2022-01-06 21:00:00
10.608,2022-01-06 21:15:00
10.824,2022-01-06 21:30:00
10.728,2022-01-06 21:45:00
10.992,2022-01-06 22:00:00
11.352,2022-01-06 22:15:00
10.884,2022-01-06 22:30:00
10.536,2022-01-06 22:45:00
10.476,2022-01-06 23:00:00
10.416,2022-01-06 23:15:00
10.608,2022-01-06 23:30:00
10.740,2022-01-06 23:45:00
10.764,2022-01-07 00:00:00
11.052,2022-01-07 00:15:00
10.344,2022-01-07 00:30:00
10.548,2022-01-07 00:45:00
10.872,2022-01-07 01:00:00
10.740,2022-01-07 01:15:00
10.656,2022-01-07 01:30:00
10.656,2022-01-07 01:45:00
11.208,2022-01-07 02:00:00
10.416,2022-01-07 02:15:00
10.704,2022-01-07 02:30:00
10.896,2022-01-07 02:45:00
10.740,2022-01-07 03:00:00
10.464,2022-01-07 03:15:00
10.608,2022-01-07 03:30:00
11.076,2022-01-07 03:45:00
10.548,2022-01-07 04:00:00
10.776,2022-01-07 04:15:00
10.728,2022-01-07 04:30:00
10.476,2022-01-07 04:45:00
11.160,2022-01-07 05:00:00
11.976,2022-01-07 05:15:00
12.192,2022-01-07 05:30:00
11.832,2022-01-07 05:45:00
12.384,2022-01-07 06:00:00
10.668,2022-01-07 06:15:00
10.308,2022-01-07 06:30:00
10.512,2022-01-07 06:45:00
10.776,2022-01-07 07:00:00
10.368,2022-01-07 07:15:00
10.212,2022-01-07 07:30:00
10.104,2022-01-07 07:45:00
9.996,2022-01-07 08:00:00
9.960,2022-01-07 08:15:00
8.688,2022-01-07 08:30:00
9.024,2022-01-07 08:45:00
8.304,2022-01-07 09:00:00
7.704,2022-01-07 09:15:00
7.692,2022-01-07 09:30:00
8.352,2022-01-07 09:45:00
8.112,2022-01-07 10:00:00
7.644,2022-01-07 10:15:00
7.668,2022-01-07 10:30:00
7.356,2022-01-07 10:45:00
7.164,2022-01-07 11:00:00
6.768,2022-01-07 11:15:00
7.008,2022-01-07 11:30:00
7.608,2022-01-07 11:45:00
8.856,2022-01-07 12:00:00
8.244,2022-01-07 12:15:00
8.364,2022-01-07 12:30:00
7.896,2022-01-07 12:45:00
6.564,2022-01-07 13:00:00
