yval,predicciones,error
"[11.532, 11.016, 11.652, 11.424, 11.388, 10.908, 11.328, 12.468, 12.468, 10.62, 9.48, 10.056, 9.66, 11.748, 15.396, 14.628, 16.368, 18.144, 19.644, 20.556, 19.284, 20.268, 21.096, 21.096]","[12.516222, 12.309379, 12.3376465, 12.136151, 12.2830515, 11.89539, 11.912962, 11.767404, 11.513711, 11.421882, 11.22042, 11.252819, 10.770703, 10.472091, 10.942186, 10.797647, 10.671009, 10.8810425, 10.571708, 10.229862, 10.375859, 10.333267, 10.483663, 10.183868]","[0.9842220001220703, 1.2933786239624023, 0.6856464843750008, 0.7121513137817388, 0.8950514907836915, 0.9873895568847662, 0.5849619598388678, -0.7005963973999023, -0.9542890243530273, 0.8018816757202156, 1.740419883728027, 1.1968190612792977, 1.1107033157348631, -1.2759092788696282, -4.4538136444091805, -3.830352523803711, -5.696990936279295, -7.262957519531248, -9.072292274475096, -10.326137786865235, -8.908140739440917, -9.934732788085938, -10.612337394714356, -10.912131591796875]"
"[11.016, 11.652, 11.424, 11.388, 10.908, 11.328, 12.468, 12.468, 10.62, 9.48, 10.056, 9.66, 11.748, 15.396, 14.628, 16.368, 18.144, 19.644, 20.556, 19.284, 20.268, 21.096, 21.096, 14.472]","[12.3694725, 12.12605, 12.187238, 12.006427, 12.09739, 11.741077, 11.748012, 11.598492, 11.39399, 11.282836, 11.108686, 11.066185, 10.654192, 10.342667, 10.845156, 10.694891, 10.568576, 10.787565, 10.5767975, 10.188876, 10.350209, 10.288342, 10.409118, 10.170376]","[1.3534725036621094, 0.47404999542236403, 0.7632377395629888, 0.6184268112182618, 1.1893901748657232, 0.4130774230957037, -0.719988410949707, -0.8695083312988281, 0.773989562988282, 1.8028359603881832, 1.0526864471435555, 1.4061849975585936, -1.093808029174804, -5.053333374023438, -3.7828442840576173, -5.67310902404785, -7.575424140930174, -8.856434768676756, -9.979202514648438, -9.095123847961425, -9.917790763854981, -10.807657524108887, -10.686882301330566, -4.30162417602539]"
"[11.652, 11.424, 11.388, 10.908, 11.328, 12.468, 12.468, 10.62, 9.48, 10.056, 9.66, 11.748, 15.396, 14.628, 16.368, 18.144, 19.644, 20.556, 19.284, 20.268, 21.096, 21.096, 14.472, 11.268]","[11.968974, 11.6887455, 11.775711, 11.614576, 11.671048, 11.350876, 11.352756, 11.219822, 11.082131, 10.978822, 10.829, 10.713473, 10.396196, 10.085665, 10.622264, 10.4870825, 10.363269, 10.60279, 10.538687, 10.1388235, 10.2896385, 10.249219, 10.3113365, 10.194995]","[0.3169741134643562, 0.2647454986572271, 0.3877110595703126, 0.7065763397216802, 0.3430481643676764, -1.1171241455078125, -1.1152444534301758, 0.5998219299316414, 1.6021313858032222, 0.9228217544555672, 1.1690004730224608, -1.0345266799926751, -4.9998036346435555, -4.542335250854492, -5.745736091613768, -7.656917518615721, -9.280731147766112, -9.953210121154786, -8.745313247680663, -10.129176490783692, -10.80636148071289, -10.846781059265137, -4.160663482666015, -1.073005073547364]"
"[11.424, 11.388, 10.908, 11.328, 12.468, 12.468, 10.62, 9.48, 10.056, 9.66, 11.748, 15.396, 14.628, 16.368, 18.144, 19.644, 20.556, 19.284, 20.268, 21.096, 21.096, 14.472, 11.268, 11.556]","[11.590962, 11.084735, 11.187009, 11.2388525, 11.277666, 10.724424, 10.70807, 10.802103, 10.807943, 10.703344, 10.41538, 10.3406725, 10.135288, 9.885719, 10.357996, 10.498334, 10.033515, 10.317427, 10.546766, 10.246861, 10.271559, 10.39704, 10.483722, 10.551963]","[0.16696240997314504, -0.3032650833129882, 0.2790088577270513, -0.08914749908447206, -1.1903339080810547, -1.7435756378173828, 0.08806980133056719, 1.3221030426025386, 0.7519433441162118, 1.0433443450927733, -1.3326204757690423, -5.055327507019044, -4.4927117614746095, -6.482280700683592, -7.786004013061522, -9.14566606903076, -10.522485023498536, -8.966573318481444, -9.721233718872071, -10.849138542175293, -10.82444123840332, -4.074959632873535, -0.784278266906739, -1.0040371475219718]"
"[11.388, 10.908, 11.328, 12.468, 12.468, 10.62, 9.48, 10.056, 9.66, 11.748, 15.396, 14.628, 16.368, 18.144, 19.644, 20.556, 19.284, 20.268, 21.096, 21.096, 14.472, 11.268, 11.556, 10.704]","[11.456478, 10.938937, 11.02345, 11.086487, 11.161427, 10.565535, 10.544545, 10.676545, 10.674544, 10.5894785, 10.25701, 10.252476, 10.018998, 9.7919035, 10.257063, 10.425095, 9.930472, 10.227827, 10.417106, 10.19178, 10.195365, 10.367511, 10.503409, 10.551801]","[0.06847811889648447, 0.030937187194824745, -0.3045501022338861, -1.38151318359375, -1.3065734558105468, -0.05446540832519453, 1.064545173645019, 0.6205451431274422, 1.014544334411621, -1.158521507263183, -5.1389895401000985, -4.3755242614746095, -6.34900185394287, -8.352096504211424, -9.386937088012694, -10.130905395507813, -9.353527626037597, -10.040172927856446, -10.678894325256348, -10.904219909667969, -4.276635047912597, -0.900489204406739, -1.0525906143188468, -0.15219927215576234]"
"[10.908, 11.328, 12.468, 12.468, 10.62, 9.48, 10.056, 9.66, 11.748, 15.396, 14.628, 16.368, 18.144, 19.644, 20.556, 19.284, 20.268, 21.096, 21.096, 14.472, 11.268, 11.556, 10.704, 11.784]","[11.409133, 10.851011, 10.960313, 11.043369, 11.078067, 10.486294, 10.460073, 10.588306, 10.622096, 10.523039, 10.197306, 10.156453, 9.955409, 9.721701, 10.193488, 10.356416, 9.848258, 10.1582575, 10.393926, 10.157676, 10.154428, 10.326131, 10.474265, 10.53794]","[0.5011329574584966, -0.4769887237548822, -1.507687156677246, -1.4246307067871093, 0.4580668258667, 1.006293792724609, 0.4040734710693368, 0.928306427001953, -1.1259039382934564, -4.872961135864259, -4.430694320678711, -6.211546867370604, -8.188590950012205, -9.922299331665037, -10.362511878967286, -8.927584251403808, -10.419741981506348, -10.937742515563965, -10.702074333190918, -4.314324256896972, -1.113572471618653, -1.2298691329956046, -0.22973490142822328, -1.2460599746704109]"
"[11.328, 12.468, 12.468, 10.62, 9.48, 10.056, 9.66, 11.748, 15.396, 14.628, 16.368, 18.144, 19.644, 20.556, 19.284, 20.268, 21.096, 21.096, 14.472, 11.268, 11.556, 10.704, 11.784, 10.98]","[11.103494, 10.637733, 10.708759, 10.736158, 10.793999, 10.277607, 10.258225, 10.357174, 10.395489, 10.315638, 10.050342, 9.976857, 9.810582, 9.57312, 10.023813, 10.150276, 9.7533455, 10.031339, 10.293432, 10.079014, 10.073112, 10.251462, 10.334265, 10.455203]","[-0.22450630950927675, -1.8302665405273437, -1.7592406921386718, 0.11615837097168047, 1.3139987182617183, 0.22160696411132896, 0.5982254409790038, -1.390826080322265, -5.000511260986329, -4.3123624114990236, -6.317658393859862, -8.167142814636229, -9.833417839050291, -10.982879882812501, -9.260186752319335, -10.11772381591797, -11.342654510498047, -11.064661308288574, -4.178567764282226, -1.18898617553711, -1.4828884658813468, -0.45253801727294984, -1.4497352447509773, -0.5247969436645512]"
"[12.468, 12.468, 10.62, 9.48, 10.056, 9.66, 11.748, 15.396, 14.628, 16.368, 18.144, 19.644, 20.556, 19.284, 20.268, 21.096, 21.096, 14.472, 11.268, 11.556, 10.704, 11.784, 10.98, 10.572]","[11.165469, 10.64648, 10.753105, 10.816779, 10.842746, 10.335474, 10.28143, 10.414568, 10.432404, 10.359199, 10.034495, 9.982174, 9.825921, 9.613706, 10.108713, 10.22834, 9.780044, 10.124536, 10.31478, 10.098243, 10.107162, 10.289154, 10.409727, 10.508099]","[-1.3025308303833008, -1.821520393371582, 0.13310516357421953, 1.3367791366577144, 0.7867457809448251, 0.6754740142822264, -1.4665697555541986, -4.9814320526123055, -4.195596435546875, -6.008801429748534, -8.109504646301268, -9.661826080322264, -10.730078941345216, -9.670294364929198, -10.159286849975587, -10.867659851074219, -11.315956398010254, -4.347464439392089, -0.9532197647094733, -1.4577572402954093, -0.5968375244140631, -1.4948459472656257, -0.5702729034423832, -0.0639013977050773]"
"[12.468, 10.62, 9.48, 10.056, 9.66, 11.748, 15.396, 14.628, 16.368, 18.144, 19.644, 20.556, 19.284, 20.268, 21.096, 21.096, 14.472, 11.268, 11.556, 10.704, 11.784, 10.98, 10.572, 11.256]","[11.764114, 11.193816, 11.2612, 11.375653, 11.45065, 10.754257, 10.740697, 10.922659, 10.934348, 10.843282, 10.454139, 10.4817295, 10.224497, 10.024214, 10.398197, 10.621247, 10.013036, 10.304561, 10.511616, 10.338578, 10.246868, 10.480104, 10.62912, 10.682471]","[-0.7038856201171875, 0.5738161849975594, 1.7811999511718746, 1.3196532669067391, 1.7906502151489256, -0.9937427978515618, -4.655303092956544, -3.705341079711914, -5.433651893615721, -7.300718254089354, -9.189861244201659, -10.074270492553712, -9.059503158569335, -10.243786209106446, -10.697802825927734, -10.474752708435059, -4.4589642257690425, -0.9634393386840827, -1.044384246826171, -0.3654217758178717, -1.5371318664550788, -0.4998955535888676, 0.057119873046875824, -0.5735287246704104]"
"[10.62, 9.48, 10.056, 9.66, 11.748, 15.396, 14.628, 16.368, 18.144, 19.644, 20.556, 19.284, 20.268, 21.096, 21.096, 14.472, 11.268, 11.556, 10.704, 11.784, 10.98, 10.572, 11.256, 11.292]","[11.978589, 11.401359, 11.430702, 11.551279, 11.657796, 10.882252, 10.876838, 11.077705, 11.076806, 10.973594, 10.563535, 10.638561, 10.330967, 10.124967, 10.448239, 10.682141, 10.06419, 10.28846, 10.49306, 10.377338, 10.236496, 10.4960785, 10.673933, 10.687641]","[1.358589057922364, 1.921358604431152, 1.374702209472657, 1.891279067993164, -0.0902040939331048, -4.513748260498048, -3.7511622695922853, -5.290294616699217, -7.067193931579588, -8.670406288146971, -9.9924652633667, -8.645438751220702, -9.93703305053711, -10.971033378601074, -10.64776067352295, -3.7898586959838862, -1.2038100891113288, -1.267540222167968, -0.2109398880004889, -1.4066615905761726, -0.7435040283203129, -0.07592150878906168, -0.5820669708251955, -0.6043588562011717]"
