valor,yval,prediccion,error
0,11.532,12.516222,0.9842220001220703
0,11.016,12.309379,1.2933786239624023
0,11.652,12.3376465,0.6856464843750008
0,11.424,12.136151,0.7121513137817388
0,11.388,12.2830515,0.8950514907836915
0,10.908,11.89539,0.9873895568847662
0,11.328,11.912962,0.5849619598388678
0,12.468,11.767404,-0.7005963973999023
0,12.468,11.513711,-0.9542890243530273
0,10.62,11.421882,0.8018816757202156
0,9.48,11.22042,1.740419883728027
0,10.056,11.252819,1.1968190612792977
0,9.66,10.770703,1.1107033157348631
0,11.748,10.472091,-1.2759092788696282
0,15.396,10.942186,-4.4538136444091805
0,14.628,10.797647,-3.830352523803711
0,16.368,10.671009,-5.696990936279295
0,18.144,10.8810425,-7.262957519531248
0,19.644,10.571708,-9.072292274475096
0,20.556,10.229862,-10.326137786865235
0,19.284,10.375859,-8.908140739440917
0,20.268,10.333267,-9.934732788085938
0,21.096,10.483663,-10.612337394714356
0,21.096,10.183868,-10.912131591796875
1,11.016,12.3694725,1.3534725036621094
1,11.652,12.12605,0.47404999542236403
1,11.424,12.187238,0.7632377395629888
1,11.388,12.006427,0.6184268112182618
1,10.908,12.09739,1.1893901748657232
1,11.328,11.741077,0.4130774230957037
1,12.468,11.748012,-0.719988410949707
1,12.468,11.598492,-0.8695083312988281
1,10.62,11.39399,0.773989562988282
1,9.48,11.282836,1.8028359603881832
1,10.056,11.108686,1.0526864471435555
1,9.66,11.066185,1.4061849975585936
1,11.748,10.654192,-1.093808029174804
1,15.396,10.342667,-5.053333374023438
1,14.628,10.845156,-3.7828442840576173
1,16.368,10.694891,-5.67310902404785
1,18.144,10.568576,-7.575424140930174
1,19.644,10.787565,-8.856434768676756
1,20.556,10.5767975,-9.979202514648438
1,19.284,10.188876,-9.095123847961425
1,20.268,10.350209,-9.917790763854981
1,21.096,10.288342,-10.807657524108887
1,21.096,10.409118,-10.686882301330566
1,14.472,10.170376,-4.30162417602539
2,11.652,11.968974,0.3169741134643562
2,11.424,11.6887455,0.2647454986572271
2,11.388,11.775711,0.3877110595703126
2,10.908,11.614576,0.7065763397216802
2,11.328,11.671048,0.3430481643676764
2,12.468,11.350876,-1.1171241455078125
2,12.468,11.352756,-1.1152444534301758
2,10.62,11.219822,0.5998219299316414
2,9.48,11.082131,1.6021313858032222
2,10.056,10.978822,0.9228217544555672
2,9.66,10.829,1.1690004730224608
2,11.748,10.713473,-1.0345266799926751
2,15.396,10.396196,-4.9998036346435555
2,14.628,10.085665,-4.542335250854492
2,16.368,10.622264,-5.745736091613768
2,18.144,10.4870825,-7.656917518615721
2,19.644,10.363269,-9.280731147766112
2,20.556,10.60279,-9.953210121154786
2,19.284,10.538687,-8.745313247680663
2,20.268,10.1388235,-10.129176490783692
2,21.096,10.2896385,-10.80636148071289
2,21.096,10.249219,-10.846781059265137
2,14.472,10.3113365,-4.160663482666015
2,11.268,10.194995,-1.073005073547364
3,11.424,11.590962,0.16696240997314504
3,11.388,11.084735,-0.3032650833129882
3,10.908,11.187009,0.2790088577270513
3,11.328,11.2388525,-0.08914749908447206
3,12.468,11.277666,-1.1903339080810547
3,12.468,10.724424,-1.7435756378173828
3,10.62,10.70807,0.08806980133056719
3,9.48,10.802103,1.3221030426025386
3,10.056,10.807943,0.7519433441162118
3,9.66,10.703344,1.0433443450927733
3,11.748,10.41538,-1.3326204757690423
3,15.396,10.3406725,-5.055327507019044
3,14.628,10.135288,-4.4927117614746095
3,16.368,9.885719,-6.482280700683592
3,18.144,10.357996,-7.786004013061522
3,19.644,10.498334,-9.14566606903076
3,20.556,10.033515,-10.522485023498536
3,19.284,10.317427,-8.966573318481444
3,20.268,10.546766,-9.721233718872071
3,21.096,10.246861,-10.849138542175293
3,21.096,10.271559,-10.82444123840332
3,14.472,10.39704,-4.074959632873535
3,11.268,10.483722,-0.784278266906739
3,11.556,10.551963,-1.0040371475219718
4,11.388,11.456478,0.06847811889648447
4,10.908,10.938937,0.030937187194824745
4,11.328,11.02345,-0.3045501022338861
4,12.468,11.086487,-1.38151318359375
4,12.468,11.161427,-1.3065734558105468
4,10.62,10.565535,-0.05446540832519453
4,9.48,10.544545,1.064545173645019
4,10.056,10.676545,0.6205451431274422
4,9.66,10.674544,1.014544334411621
4,11.748,10.5894785,-1.158521507263183
4,15.396,10.25701,-5.1389895401000985
4,14.628,10.252476,-4.3755242614746095
4,16.368,10.018998,-6.34900185394287
4,18.144,9.7919035,-8.352096504211424
4,19.644,10.257063,-9.386937088012694
4,20.556,10.425095,-10.130905395507813
4,19.284,9.930472,-9.353527626037597
4,20.268,10.227827,-10.040172927856446
4,21.096,10.417106,-10.678894325256348
4,21.096,10.19178,-10.904219909667969
4,14.472,10.195365,-4.276635047912597
4,11.268,10.367511,-0.900489204406739
4,11.556,10.503409,-1.0525906143188468
4,10.704,10.551801,-0.15219927215576234
5,10.908,11.409133,0.5011329574584966
5,11.328,10.851011,-0.4769887237548822
5,12.468,10.960313,-1.507687156677246
5,12.468,11.043369,-1.4246307067871093
5,10.62,11.078067,0.4580668258667
5,9.48,10.486294,1.006293792724609
5,10.056,10.460073,0.4040734710693368
5,9.66,10.588306,0.928306427001953
5,11.748,10.622096,-1.1259039382934564
5,15.396,10.523039,-4.872961135864259
5,14.628,10.197306,-4.430694320678711
5,16.368,10.156453,-6.211546867370604
5,18.144,9.955409,-8.188590950012205
5,19.644,9.721701,-9.922299331665037
5,20.556,10.193488,-10.362511878967286
5,19.284,10.356416,-8.927584251403808
5,20.268,9.848258,-10.419741981506348
5,21.096,10.1582575,-10.937742515563965
5,21.096,10.393926,-10.702074333190918
5,14.472,10.157676,-4.314324256896972
5,11.268,10.154428,-1.113572471618653
5,11.556,10.326131,-1.2298691329956046
5,10.704,10.474265,-0.22973490142822328
5,11.784,10.53794,-1.2460599746704109
6,11.328,11.103494,-0.22450630950927675
6,12.468,10.637733,-1.8302665405273437
6,12.468,10.708759,-1.7592406921386718
6,10.62,10.736158,0.11615837097168047
6,9.48,10.793999,1.3139987182617183
6,10.056,10.277607,0.22160696411132896
6,9.66,10.258225,0.5982254409790038
6,11.748,10.357174,-1.390826080322265
6,15.396,10.395489,-5.000511260986329
6,14.628,10.315638,-4.3123624114990236
6,16.368,10.050342,-6.317658393859862
6,18.144,9.976857,-8.167142814636229
6,19.644,9.810582,-9.833417839050291
6,20.556,9.57312,-10.982879882812501
6,19.284,10.023813,-9.260186752319335
6,20.268,10.150276,-10.11772381591797
6,21.096,9.7533455,-11.342654510498047
6,21.096,10.031339,-11.064661308288574
6,14.472,10.293432,-4.178567764282226
6,11.268,10.079014,-1.18898617553711
6,11.556,10.073112,-1.4828884658813468
6,10.704,10.251462,-0.45253801727294984
6,11.784,10.334265,-1.4497352447509773
6,10.98,10.455203,-0.5247969436645512
7,12.468,11.165469,-1.3025308303833008
7,12.468,10.64648,-1.821520393371582
7,10.62,10.753105,0.13310516357421953
7,9.48,10.816779,1.3367791366577144
7,10.056,10.842746,0.7867457809448251
7,9.66,10.335474,0.6754740142822264
7,11.748,10.28143,-1.4665697555541986
7,15.396,10.414568,-4.9814320526123055
7,14.628,10.432404,-4.195596435546875
7,16.368,10.359199,-6.008801429748534
7,18.144,10.034495,-8.109504646301268
7,19.644,9.982174,-9.661826080322264
7,20.556,9.825921,-10.730078941345216
7,19.284,9.613706,-9.670294364929198
7,20.268,10.108713,-10.159286849975587
7,21.096,10.22834,-10.867659851074219
7,21.096,9.780044,-11.315956398010254
7,14.472,10.124536,-4.347464439392089
7,11.268,10.31478,-0.9532197647094733
7,11.556,10.098243,-1.4577572402954093
7,10.704,10.107162,-0.5968375244140631
7,11.784,10.289154,-1.4948459472656257
7,10.98,10.409727,-0.5702729034423832
7,10.572,10.508099,-0.0639013977050773
8,12.468,11.764114,-0.7038856201171875
8,10.62,11.193816,0.5738161849975594
8,9.48,11.2612,1.7811999511718746
8,10.056,11.375653,1.3196532669067391
8,9.66,11.45065,1.7906502151489256
8,11.748,10.754257,-0.9937427978515618
8,15.396,10.740697,-4.655303092956544
8,14.628,10.922659,-3.705341079711914
8,16.368,10.934348,-5.433651893615721
8,18.144,10.843282,-7.300718254089354
8,19.644,10.454139,-9.189861244201659
8,20.556,10.4817295,-10.074270492553712
8,19.284,10.224497,-9.059503158569335
8,20.268,10.024214,-10.243786209106446
8,21.096,10.398197,-10.697802825927734
8,21.096,10.621247,-10.474752708435059
8,14.472,10.013036,-4.4589642257690425
8,11.268,10.304561,-0.9634393386840827
8,11.556,10.511616,-1.044384246826171
8,10.704,10.338578,-0.3654217758178717
8,11.784,10.246868,-1.5371318664550788
8,10.98,10.480104,-0.4998955535888676
8,10.572,10.62912,0.057119873046875824
8,11.256,10.682471,-0.5735287246704104
9,10.62,11.978589,1.358589057922364
9,9.48,11.401359,1.921358604431152
9,10.056,11.430702,1.374702209472657
9,9.66,11.551279,1.891279067993164
9,11.748,11.657796,-0.0902040939331048
9,15.396,10.882252,-4.513748260498048
9,14.628,10.876838,-3.7511622695922853
9,16.368,11.077705,-5.290294616699217
9,18.144,11.076806,-7.067193931579588
9,19.644,10.973594,-8.670406288146971
9,20.556,10.563535,-9.9924652633667
9,19.284,10.638561,-8.645438751220702
9,20.268,10.330967,-9.93703305053711
9,21.096,10.124967,-10.971033378601074
9,21.096,10.448239,-10.64776067352295
9,14.472,10.682141,-3.7898586959838862
9,11.268,10.06419,-1.2038100891113288
9,11.556,10.28846,-1.267540222167968
9,10.704,10.49306,-0.2109398880004889
9,11.784,10.377338,-1.4066615905761726
9,10.98,10.236496,-0.7435040283203129
9,10.572,10.4960785,-0.07592150878906168
9,11.256,10.673933,-0.5820669708251955
9,11.292,10.687641,-0.6043588562011717
