valor,prediccion,valor_real,error,error_promedio,desviacion_estandar,error_relativo_porcentual
0,[24.128544 24.900673 20.656939 22.955893],[6.564 6.408 6.324 7.392],"[17.564543853759766, 18.492672912597655, 14.332938552856445, 15.563892562866211]",16.48851197052002,1.6337015871515437,"[267.5890288506972, 288.5872801591394, 226.6435571292923, 210.5504946275191]"
1,[23.557379 24.639677 20.752827 23.204279],[6.408 6.324 7.392 6.864],"[17.149378768920897, 18.315677047729494, 13.360826690673829, 16.34027894592285]",16.291540363311768,1.831971214823359,"[267.6245126236095, 289.6217116971773, 180.7471143218862, 238.05767695109049]"
2,[23.046274 24.379002 20.81957  23.327183],[6.324 7.392 6.864 5.484],"[16.722274185180666, 16.98700161743164, 13.955570541381835, 17.84318276977539]",16.377007278442385,1.4581091157265613,"[264.4255880009593, 229.80251105832846, 203.31542164017824, 325.36803008343156]"
3,[22.66431  24.179926 20.853735 23.299297],[7.392 6.864 5.484 6.648],"[15.272310455322266, 17.3159259185791, 15.369734970092773, 16.651297332763672]",16.152317169189452,0.8645538213568624,"[206.605931484338, 252.27164799794727, 280.2650432183219, 250.470778170332]"
4,[22.46033  24.117004 20.914366 23.190275],[6.864 5.484 6.648 7.104],"[15.596329055786132, 18.63300439453125, 14.266365768432618, 16.086275192260743]",16.145493602752687,1.5830287328975912,"[227.21924615073036, 339.77032083390316, 214.59635632419705, 226.4396845757424]"
5,[22.275425 23.950304 20.966    22.968872],[5.484 6.648 7.104 6.72 ],"[16.79142495727539, 17.30230403137207, 13.861999603271485, 16.2488720703125]",16.05115016555786,1.3176557687018287,"[306.18936829459136, 260.2632977041527, 195.1294989199252, 241.79869152250748]"
6,[22.030684 23.735762 20.997534 22.644888],[6.648 7.104 6.72  6.804],"[15.382683517456055, 16.631761642456055, 14.277533798217775, 15.840887924194336]",15.533216720581056,0.8515959079381571,"[231.3881395525881, 234.1182663634017, 212.46330056871687, 232.81728283648349]"
7,[21.9065   23.721956 21.085272 22.376543],[7.104 6.72  6.804 9.492],"[14.8024998626709, 17.00195625305176, 14.281271835327148, 12.884543045043944]",14.742567749023436,1.4810028689179306,"[208.36852284165116, 253.0053013846988, 209.89523567500217, 135.74107717071158]"
8,[21.812847 23.616642 21.201057 22.087128],[6.72  6.804 9.492 9.192],"[15.092847137451173, 16.812641998291014, 11.70905743408203, 12.895127685546875]",14.127418563842772,1.9691044021533295,"[224.59593954540438, 247.099382690932, 123.35711582471586, 140.28641955555784]"
9,[21.68074  23.46109  21.320902 21.796974],[6.804 9.492 9.192 9.42 ],"[14.876740356445312, 13.969090087890624, 12.128901870727539, 12.376974182128906]",13.337926624298095,1.134844204161549,"[218.64697760795576, 147.16698364823665, 131.9506295771055, 131.39038409903299]"
